# 8f083a55-59d7-4744-a22e-744129592b99
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 729.2828097; -741.9631184; 0.5334616; 0.0041791; 20.0000000; 0.0000000
1.9994263; 728.2589234; -740.2459174; 0.5418787; 0.0042410; 20.0000000; 0.0000000
3.9988527; 727.2204356; -738.5373280; 0.5504140; 0.0042903; 20.0000000; 0.0000000
5.9982790; 726.1672710; -736.8376126; 0.5590295; 0.0043272; 20.0000000; 0.0000000
7.9977054; 725.0995663; -735.1472629; 0.5677107; 0.0043571; 20.0000000; 0.0000000
9.9971317; 724.0171096; -733.4661719; 0.5764483; 0.0043782; 20.0000000; 0.0000000
11.9965580; 722.9199509; -731.7945774; 0.5852148; 0.0043906; 20.0000000; 0.0000000
13.9959844; 721.8082536; -730.1327573; 0.5939548; 0.0043521; 20.0000000; 0.0000000
15.9954107; 720.6820993; -728.4806120; 0.6026089; 0.0042942; 20.0000000; 0.0000000
17.9948371; 719.5418162; -726.8382129; 0.6111173; 0.0042168; 20.0000000; 0.0000000
19.9942634; 718.3877716; -725.2054256; 0.6193632; 0.0040310; 20.0000000; 0.0000000
21.9936897; 717.2206052; -723.5819903; 0.6272312; 0.0038328; 20.0000000; 0.0000000
23.9931161; 716.0410915; -721.9676243; 0.6346835; 0.0036221; 20.0000000; 0.0000000
25.9925424; 714.8498186; -720.3616956; 0.6417028; 0.0033988; 20.0000000; 0.0000000
27.9919688; 713.6477100; -718.7639727; 0.6482864; 0.0031977; 20.0000000; 0.0000000
29.9913951; 712.4355026; -717.1740942; 0.6545010; 0.0030191; 20.0000000; 0.0000000
31.9908214; 711.2135187; -715.5914096; 0.6604594; 0.0029414; 20.0000000; 0.0000000
33.9902478; 709.9823418; -714.0160572; 0.6662597; 0.0028573; 20.0000000; 0.0000000
35.9896741; 708.7422056; -712.4477873; 0.6718812; 0.0027659; 20.0000000; 0.0000000
37.9891005; 707.4933420; -710.8863141; 0.6773263; 0.0026807; 20.0000000; 0.0000000
39.9885268; 706.2361649; -709.3316037; 0.6826008; 0.0025954; 20.0000000; 0.0000000
41.9879531; 704.9709387; -707.7834404; 0.6877049; 0.0025102; 20.0000000; 0.0000000
43.9873795; 703.6979385; -706.2416237; 0.6926399; 0.0024262; 20.0000000; 0.0000000
45.9868058; 702.4174832; -704.7060113; 0.6974068; 0.0023422; 20.0000000; 0.0000000
47.9862321; 701.1298471; -703.1764077; 0.7020058; 0.0022582; 20.0000000; 0.0000000
49.9856585; 699.8353176; -701.6526348; 0.7064386; 0.0021759; 20.0000000; 0.0000000
51.9850848; 698.5341694; -700.1345057; 0.7107057; 0.0020911; 20.0000000; 0.0000000
53.9845112; 697.2266852; -698.6218289; 0.7147992; 0.0020036; 20.0000000; 0.0000000
55.9839375; 695.9131421; -697.1144113; 0.7187376; 0.0019360; 20.0000000; 0.0000000
57.9833638; 694.5937832; -695.6120858; 0.7225121; 0.0018105; 20.0000000; 0.0000000
59.9827902; 693.2689985; -694.1145360; 0.7259485; 0.0016268; 20.0000000; 0.0000000
61.9822165; 691.9393838; -692.6212839; 0.7289600; 0.0013855; 20.0000000; 0.0000000
63.9816429; 690.6056324; -691.1317169; 0.7314925; 0.0011512; 20.0000000; 0.0000000
65.9810692; 689.2684505; -689.6452193; 0.7335668; 0.0009238; 20.0000000; 0.0000000
67.9804955; 687.9285204; -688.1612160; 0.7352141; 0.0007239; 20.0000000; 0.0000000
69.9799219; 686.5864319; -686.6791566; 0.7364937; 0.0005876; 20.0000000; 0.0000000
71.9793482; 685.2425898; -685.1986758; 0.7375949; 0.0005140; 20.0000000; 0.0000000
73.9787746; 683.8972226; -683.7196026; 0.7385799; 0.0004713; 20.0000000; 0.0000000
75.9782009; 682.5504571; -682.2417922; 0.7394795; 0.0004286; 20.0000000; 0.0000000
77.9776272; 681.2024184; -680.7651283; 0.7402938; 0.0003859; 20.0000000; 0.0000000
79.9770536; 679.8532544; -679.2895199; 0.7410226; 0.0003432; 20.0000000; 0.0000000
81.9764799; 678.5030716; -677.8148302; 0.7416661; 0.0003004; 20.0000000; 0.0000000
83.9759063; 677.1519954; -676.3409434; 0.7422240; 0.0002577; 20.0000000; 0.0000000
85.9753326; 675.8001746; -674.8677689; 0.7426965; 0.0002149; 20.0000000; 0.0000000
87.9747589; 674.4477136; -673.3951675; 0.7430835; 0.0001722; 20.0000000; 0.0000000
89.9741853; 673.0947385; -671.9230238; 0.7433850; 0.0001294; 20.0000000; 0.0000000
