# cc394e69-e419-41cf-b0a6-969dc5b328de
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 194.9640300; -125.2575066; -2.4034264; 0.0000085; 20.0000000; 0.0000000
1.9998678; 196.3098228; -126.7368013; -2.4034012; 0.0000168; 20.0000000; 0.0000000
3.9997357; 197.6556652; -128.2160508; -2.4033594; 0.0000250; 20.0000000; 0.0000000
5.9996035; 199.0015818; -129.6952334; -2.4033011; 0.0000333; 20.0000000; 0.0000000
7.9994714; 200.3475965; -131.1743259; -2.4032263; 0.0000415; 20.0000000; 0.0000000
9.9993392; 201.6937342; -132.6533067; -2.4031350; 0.0000498; 20.0000000; 0.0000000
11.9992071; 203.0400196; -134.1321538; -2.4030271; 0.0000581; 20.0000000; 0.0000000
13.9990749; 204.3864762; -135.6108439; -2.4029027; 0.0000663; 20.0000000; 0.0000000
15.9989428; 205.7331292; -137.0893557; -2.4027618; 0.0000746; 20.0000000; 0.0000000
17.9988106; 207.0800030; -138.5676669; -2.4026043; 0.0000829; 20.0000000; 0.0000000
19.9986785; 208.4271212; -140.0457542; -2.4024303; 0.0000911; 20.0000000; 0.0000000
21.9985463; 209.7745090; -141.5235965; -2.4022403; 0.0000986; 20.0000000; 0.0000000
23.9984142; 211.1221881; -143.0011735; -2.4020365; 0.0001051; 20.0000000; 0.0000000
25.9982820; 212.4701742; -144.4784694; -2.4018262; 0.0001052; 20.0000000; 0.0000000
27.9981499; 213.8184712; -145.9554822; -2.4016162; 0.0001044; 20.0000000; 0.0000000
29.9980177; 215.1670768; -147.4322136; -2.4014090; 0.0001029; 20.0000000; 0.0000000
31.9978856; 216.5159856; -148.9086671; -2.4012048; 0.0001013; 20.0000000; 0.0000000
33.9977534; 217.8651937; -150.3848476; -2.4010038; 0.0000997; 20.0000000; 0.0000000
35.9976213; 219.2146964; -151.8607593; -2.4008060; 0.0000981; 20.0000000; 0.0000000
37.9974891; 220.5644883; -153.3364056; -2.4006113; 0.0000966; 20.0000000; 0.0000000
39.9973570; 221.9145655; -154.8117913; -2.4004197; 0.0000950; 20.0000000; 0.0000000
41.9972248; 223.2649232; -156.2869208; -2.4002313; 0.0000934; 20.0000000; 0.0000000
43.9970927; 224.6155560; -157.7617974; -2.4000459; 0.0000919; 20.0000000; 0.0000000
45.9969605; 225.9664600; -159.2364260; -2.3998638; 0.0000903; 20.0000000; 0.0000000
47.9968284; 227.3176306; -160.7108110; -2.3996848; 0.0000887; 20.0000000; 0.0000000
49.9966962; 228.6690623; -162.1849556; -2.3995089; 0.0000872; 20.0000000; 0.0000000
51.9965641; 230.0207512; -163.6588648; -2.3993361; 0.0000856; 20.0000000; 0.0000000
53.9964319; 231.3726926; -165.1325429; -2.3991665; 0.0000840; 20.0000000; 0.0000000
55.9962998; 232.7248812; -166.6059933; -2.3990000; 0.0000825; 20.0000000; 0.0000000
57.9961676; 234.0773130; -168.0792210; -2.3988367; 0.0000809; 20.0000000; 0.0000000
59.9960355; 235.4299833; -169.5522301; -2.3986765; 0.0000793; 20.0000000; 0.0000000
61.9959033; 236.7828868; -171.0250241; -2.3985194; 0.0000778; 20.0000000; 0.0000000
63.9957712; 238.1360196; -172.4976079; -2.3983655; 0.0000762; 20.0000000; 0.0000000
65.9956390; 239.4893769; -173.9699858; -2.3982147; 0.0000746; 20.0000000; 0.0000000
67.9955069; 240.8429534; -175.4421613; -2.3980671; 0.0000730; 20.0000000; 0.0000000
69.9953747; 242.1967452; -176.9141393; -2.3979225; 0.0000715; 20.0000000; 0.0000000
71.9952426; 243.5507476; -178.3859240; -2.3977812; 0.0000699; 20.0000000; 0.0000000
73.9951104; 244.9049554; -179.8575189; -2.3976429; 0.0000683; 20.0000000; 0.0000000
75.9949783; 246.2593644; -181.3289289; -2.3975078; 0.0000668; 20.0000000; 0.0000000
77.9948461; 247.6139702; -182.8001583; -2.3973759; 0.0000652; 20.0000000; 0.0000000
79.9947140; 248.9687673; -184.2712107; -2.3972471; 0.0000636; 20.0000000; 0.0000000
81.9945818; 250.3237518; -185.7420908; -2.3971214; 0.0000621; 20.0000000; 0.0000000
83.9944497; 251.6789191; -187.2128029; -2.3969988; 0.0000605; 20.0000000; 0.0000000
85.9943175; 253.0342639; -188.6833507; -2.3968794; 0.0000589; 20.0000000; 0.0000000
87.9941854; 254.3897822; -190.1537390; -2.3967631; 0.0000574; 20.0000000; 0.0000000
89.9940532; 255.7454693; -191.6239719; -2.3966500; 0.0000558; 20.0000000; 0.0000000
91.9939211; 257.1013201; -193.0940533; -2.3965400; 0.0000542; 20.0000000; 0.0000000
93.9937889; 258.4573304; -194.5639878; -2.3964332; 0.0000526; 20.0000000; 0.0000000
95.9936568; 259.8134956; -196.0337797; -2.3963294; 0.0000511; 20.0000000; 0.0000000
97.9935246; 261.1698107; -197.5034327; -2.3962289; 0.0000495; 20.0000000; 0.0000000
99.9933925; 262.5262714; -198.9729516; -2.3961314; 0.0000479; 20.0000000; 0.0000000
101.9932603; 263.8828731; -200.4423406; -2.3960371; 0.0000464; 20.0000000; 0.0000000
103.9931282; 265.2396109; -201.9116035; -2.3959460; 0.0000448; 20.0000000; 0.0000000
105.9929960; 266.5964804; -203.3807449; -2.3958579; 0.0000432; 20.0000000; 0.0000000
107.9928639; 267.9534769; -204.8497693; -2.3957732; 0.0000416; 20.0000000; 0.0000000
109.9927317; 269.3105953; -206.3186806; -2.3956918; 0.0000398; 20.0000000; 0.0000000
111.9925996; 270.6678306; -207.7874841; -2.3956141; 0.0000379; 20.0000000; 0.0000000
113.9924674; 272.0251773; -209.2561848; -2.3955401; 0.0000361; 20.0000000; 0.0000000
115.9923353; 273.3826299; -210.7247874; -2.3954699; 0.0000342; 20.0000000; 0.0000000
117.9922031; 274.7401829; -212.1932973; -2.3954034; 0.0000323; 20.0000000; 0.0000000
119.9920710; 276.0978309; -213.6617195; -2.3953406; 0.0000305; 20.0000000; 0.0000000
121.9919388; 277.4555683; -215.1300587; -2.3952815; 0.0000286; 20.0000000; 0.0000000
123.9918067; 278.8133897; -216.5983204; -2.3952262; 0.0000267; 20.0000000; 0.0000000
125.9916745; 280.1712897; -218.0665096; -2.3951746; 0.0000249; 20.0000000; 0.0000000
127.9915424; 281.5292627; -219.5346311; -2.3951267; 0.0000230; 20.0000000; 0.0000000
129.9914102; 282.8873032; -221.0026901; -2.3950825; 0.0000211; 20.0000000; 0.0000000
131.9912781; 284.2454059; -222.4706917; -2.3950421; 0.0000193; 20.0000000; 0.0000000
133.9911459; 285.6035651; -223.9386409; -2.3950054; 0.0000174; 20.0000000; 0.0000000
135.9910138; 286.9617755; -225.4065428; -2.3949724; 0.0000156; 20.0000000; 0.0000000
137.9908816; 288.3200315; -226.8744025; -2.3949432; 0.0000137; 20.0000000; 0.0000000
139.9907495; 289.6783277; -228.3422250; -2.3949177; 0.0000118; 20.0000000; 0.0000000
141.9906173; 291.0366587; -229.8100153; -2.3948959; 0.0000100; 20.0000000; 0.0000000
143.9904852; 292.3950189; -231.2777786; -2.3948778; 0.0000081; 20.0000000; 0.0000000
145.9903530; 293.7534029; -232.7455199; -2.3948635; 0.0000062; 20.0000000; 0.0000000
147.9902209; 295.1118051; -234.2132442; -2.3948529; 0.0000044; 20.0000000; 0.0000000
149.9900887; 296.4702202; -235.6809566; -2.3948460; 0.0000025; 20.0000000; 0.0000000
151.9899566; 297.8286427; -237.1486623; -2.3948428; 0.0000006; 20.0000000; 0.0000000
153.9898244; 299.1870670; -238.6163663; -2.3948434; -0.0000012; 20.0000000; 0.0000000
155.9896923; 300.5454877; -240.0840734; -2.3948477; -0.0000031; 20.0000000; 0.0000000
157.9895601; 301.9038995; -241.5517891; -2.3948558; -0.0000049; 20.0000000; 0.0000000
159.9894279; 303.2622966; -243.0195182; -2.3948675; -0.0000068; 20.0000000; 0.0000000
161.9892958; 304.6206737; -244.4872656; -2.3948830; -0.0000087; 20.0000000; 0.0000000
163.9891636; 305.9790255; -245.9550368; -2.3949022; -0.0000105; 20.0000000; 0.0000000
165.9890315; 307.3373463; -247.4228366; -2.3949252; -0.0000124; 20.0000000; 0.0000000
167.9888993; 308.6956305; -248.8906700; -2.3949519; -0.0000143; 20.0000000; 0.0000000
169.9887672; 310.0538731; -250.3585423; -2.3949823; -0.0000161; 20.0000000; 0.0000000
171.9886350; 311.4120682; -251.8264584; -2.3950164; -0.0000180; 20.0000000; 0.0000000
173.9885029; 312.7702103; -253.2944232; -2.3950542; -0.0000199; 20.0000000; 0.0000000
175.9883707; 314.1282944; -254.7624422; -2.3950958; -0.0000217; 20.0000000; 0.0000000
177.9882386; 315.4863145; -256.2305201; -2.3951411; -0.0000236; 20.0000000; 0.0000000
179.9881064; 316.8442653; -257.6986619; -2.3951902; -0.0000255; 20.0000000; 0.0000000
181.9879743; 318.2021416; -259.1668731; -2.3952429; -0.0000273; 20.0000000; 0.0000000
183.9878421; 319.5599376; -260.6351584; -2.3952994; -0.0000292; 20.0000000; 0.0000000
185.9877100; 320.9176477; -262.1035227; -2.3953597; -0.0000310; 20.0000000; 0.0000000
187.9875778; 322.2752669; -263.5719716; -2.3954236; -0.0000329; 20.0000000; 0.0000000
189.9874457; 323.6327894; -265.0405098; -2.3954913; -0.0000348; 20.0000000; 0.0000000
191.9873135; 324.9902095; -266.5091422; -2.3955627; -0.0000366; 20.0000000; 0.0000000
193.9871814; 326.3475224; -267.9778743; -2.3956378; -0.0000385; 20.0000000; 0.0000000
195.9870492; 327.7047220; -269.4467108; -2.3957167; -0.0000404; 20.0000000; 0.0000000
197.9869171; 329.0618029; -270.9156567; -2.3957993; -0.0000422; 20.0000000; 0.0000000
199.9867849; 330.4187600; -272.3847175; -2.3958856; -0.0000441; 20.0000000; 0.0000000
201.9866528; 331.7755875; -273.8538978; -2.3959756; -0.0000460; 20.0000000; 0.0000000
203.9865206; 333.1322797; -275.3232026; -2.3960694; -0.0000478; 20.0000000; 0.0000000
205.9863885; 334.4888318; -276.7926375; -2.3961669; -0.0000497; 20.0000000; 0.0000000
207.9862563; 335.8452377; -278.2622070; -2.3962681; -0.0000515; 20.0000000; 0.0000000
209.9861242; 337.2014919; -279.7319161; -2.3963731; -0.0000534; 20.0000000; 0.0000000
211.9859920; 338.5575894; -281.2017705; -2.3964818; -0.0000553; 20.0000000; 0.0000000
213.9858599; 339.9135243; -282.6717746; -2.3965942; -0.0000571; 20.0000000; 0.0000000
215.9857277; 341.2692910; -284.1419334; -2.3967103; -0.0000590; 20.0000000; 0.0000000
