# 8f16401d-d179-413f-be1f-21d85ecf41d5
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 91.2667321; -17.2163896; -2.4043488; 0.0000094; 20.0000000; 0.0000000
1.9996635; 92.6110200; -18.6967760; -2.4043295; 0.0000099; 20.0000000; 0.0000000
3.9993269; 93.9553374; -20.1771356; -2.4043090; 0.0000105; 20.0000000; 0.0000000
5.9989904; 95.2996859; -21.6574671; -2.4042875; 0.0000111; 20.0000000; 0.0000000
7.9986539; 96.6440671; -23.1377687; -2.4042648; 0.0000116; 20.0000000; 0.0000000
9.9983173; 97.9884827; -24.6180392; -2.4042411; 0.0000122; 20.0000000; 0.0000000
11.9979808; 99.3329342; -26.0982771; -2.4042162; 0.0000127; 20.0000000; 0.0000000
13.9976443; 100.6774234; -27.5784807; -2.4041902; 0.0000133; 20.0000000; 0.0000000
15.9973077; 102.0219519; -29.0586487; -2.4041631; 0.0000138; 20.0000000; 0.0000000
17.9969712; 103.3665212; -30.5387795; -2.4041350; 0.0000144; 20.0000000; 0.0000000
19.9966347; 104.7111331; -32.0188717; -2.4041057; 0.0000149; 20.0000000; 0.0000000
21.9962981; 106.0557892; -33.4989237; -2.4040753; 0.0000155; 20.0000000; 0.0000000
23.9959616; 107.4004911; -34.9789341; -2.4040438; 0.0000160; 20.0000000; 0.0000000
25.9956251; 108.7452404; -36.4589015; -2.4040112; 0.0000166; 20.0000000; 0.0000000
27.9952885; 110.0900387; -37.9388242; -2.4039775; 0.0000171; 20.0000000; 0.0000000
29.9949520; 111.4348878; -39.4187008; -2.4039426; 0.0000177; 20.0000000; 0.0000000
31.9946155; 112.7797893; -40.8985299; -2.4039067; 0.0000182; 20.0000000; 0.0000000
33.9942789; 114.1247447; -42.3783099; -2.4038697; 0.0000188; 20.0000000; 0.0000000
35.9939424; 115.4697557; -43.8580394; -2.4038315; 0.0000193; 20.0000000; 0.0000000
37.9936059; 116.8148240; -45.3377169; -2.4037923; 0.0000199; 20.0000000; 0.0000000
39.9932693; 118.1599511; -46.8173408; -2.4037520; 0.0000205; 20.0000000; 0.0000000
41.9929328; 119.5051388; -48.2969097; -2.4037105; 0.0000210; 20.0000000; 0.0000000
43.9925963; 120.8503886; -49.7764221; -2.4036680; 0.0000216; 20.0000000; 0.0000000
45.9922597; 122.1957022; -51.2558765; -2.4036243; 0.0000221; 20.0000000; 0.0000000
47.9919232; 123.5410812; -52.7352714; -2.4035795; 0.0000227; 20.0000000; 0.0000000
49.9915866; 124.8865273; -54.2146053; -2.4035336; 0.0000232; 20.0000000; 0.0000000
51.9912501; 126.2320420; -55.6938768; -2.4034867; 0.0000238; 20.0000000; 0.0000000
53.9909136; 127.5776270; -57.1730843; -2.4034386; 0.0000243; 20.0000000; 0.0000000
55.9905770; 128.9232840; -58.6522264; -2.4033894; 0.0000249; 20.0000000; 0.0000000
57.9902405; 130.2690146; -60.1313015; -2.4033391; 0.0000254; 20.0000000; 0.0000000
59.9899040; 131.6148203; -61.6103082; -2.4032877; 0.0000260; 20.0000000; 0.0000000
61.9895674; 132.9607030; -63.0892450; -2.4032352; 0.0000265; 20.0000000; 0.0000000
63.9892309; 134.3066640; -64.5681104; -2.4031816; 0.0000271; 20.0000000; 0.0000000
65.9888944; 135.6527052; -66.0469028; -2.4031269; 0.0000276; 20.0000000; 0.0000000
67.9885578; 136.9988281; -67.5256209; -2.4030710; 0.0000282; 20.0000000; 0.0000000
69.9882213; 138.3450344; -69.0042631; -2.4030141; 0.0000287; 20.0000000; 0.0000000
71.9878848; 139.6913256; -70.4828278; -2.4029561; 0.0000293; 20.0000000; 0.0000000
73.9875482; 141.0377035; -71.9613138; -2.4028969; 0.0000299; 20.0000000; 0.0000000
75.9872117; 142.3841696; -73.4397193; -2.4028367; 0.0000304; 20.0000000; 0.0000000
77.9868752; 143.7307255; -74.9180430; -2.4027754; 0.0000309; 20.0000000; 0.0000000
79.9865386; 145.0773728; -76.3962837; -2.4027133; 0.0000312; 20.0000000; 0.0000000
81.9862021; 146.4241123; -77.8744402; -2.4026505; 0.0000316; 20.0000000; 0.0000000
83.9858656; 147.7709450; -79.3525117; -2.4025871; 0.0000319; 20.0000000; 0.0000000
85.9855290; 149.1178720; -80.8304974; -2.4025231; 0.0000322; 20.0000000; 0.0000000
87.9851925; 150.4648940; -82.3083965; -2.4024585; 0.0000325; 20.0000000; 0.0000000
89.9848560; 151.8120119; -83.7862081; -2.4023933; 0.0000328; 20.0000000; 0.0000000
91.9845194; 153.1592267; -85.2639315; -2.4023275; 0.0000331; 20.0000000; 0.0000000
93.9841829; 154.5065392; -86.7415658; -2.4022610; 0.0000334; 20.0000000; 0.0000000
95.9838464; 155.8539502; -88.2191102; -2.4021940; 0.0000337; 20.0000000; 0.0000000
97.9835098; 157.2014608; -89.6965639; -2.4021264; 0.0000340; 20.0000000; 0.0000000
99.9831733; 158.5490717; -91.1739260; -2.4020581; 0.0000343; 20.0000000; 0.0000000
101.9828368; 159.8967838; -92.6511957; -2.4019893; 0.0000346; 20.0000000; 0.0000000
103.9825002; 161.2445981; -94.1283724; -2.4019199; 0.0000349; 20.0000000; 0.0000000
105.9821637; 162.5925154; -95.6054549; -2.4018498; 0.0000352; 20.0000000; 0.0000000
107.9818272; 163.9405365; -97.0824426; -2.4017792; 0.0000355; 20.0000000; 0.0000000
109.9814906; 165.2886626; -98.5593348; -2.4017079; 0.0000358; 20.0000000; 0.0000000
111.9811541; 166.6368942; -100.0361305; -2.4016361; 0.0000361; 20.0000000; 0.0000000
113.9808176; 167.9852324; -101.5128288; -2.4015636; 0.0000364; 20.0000000; 0.0000000
115.9804810; 169.3336781; -102.9894291; -2.4014906; 0.0000367; 20.0000000; 0.0000000
117.9801445; 170.6822320; -104.4659305; -2.4014169; 0.0000370; 20.0000000; 0.0000000
119.9798080; 172.0308951; -105.9423320; -2.4013426; 0.0000373; 20.0000000; 0.0000000
121.9794714; 173.3796684; -107.4186331; -2.4012678; 0.0000376; 20.0000000; 0.0000000
123.9791349; 174.7285526; -108.8948327; -2.4011923; 0.0000379; 20.0000000; 0.0000000
125.9787984; 176.0775486; -110.3709301; -2.4011162; 0.0000382; 20.0000000; 0.0000000
127.9784618; 177.4266574; -111.8469246; -2.4010396; 0.0000385; 20.0000000; 0.0000000
129.9781253; 178.7758798; -113.3228151; -2.4009623; 0.0000388; 20.0000000; 0.0000000
131.9777888; 180.1252167; -114.7986009; -2.4008844; 0.0000391; 20.0000000; 0.0000000
133.9774522; 181.4746690; -116.2742813; -2.4008059; 0.0000394; 20.0000000; 0.0000000
135.9771157; 182.8242375; -117.7498554; -2.4007268; 0.0000397; 20.0000000; 0.0000000
137.9767792; 184.1739231; -119.2253222; -2.4006471; 0.0000400; 20.0000000; 0.0000000
139.9764426; 185.5237269; -120.7006812; -2.4005668; 0.0000403; 20.0000000; 0.0000000
141.9761061; 186.8736495; -122.1759313; -2.4004859; 0.0000406; 20.0000000; 0.0000000
143.9757696; 188.2236918; -123.6510718; -2.4004044; 0.0000409; 20.0000000; 0.0000000
145.9754330; 189.5738549; -125.1261019; -2.4003223; 0.0000412; 20.0000000; 0.0000000
147.9750965; 190.9241395; -126.6010208; -2.4002396; 0.0000415; 20.0000000; 0.0000000
149.9747599; 192.2745464; -128.0758274; -2.4001563; 0.0000418; 20.0000000; 0.0000000
151.9744234; 193.6250768; -129.5505213; -2.4000724; 0.0000421; 20.0000000; 0.0000000
153.9740869; 194.9757313; -131.0251014; -2.3999879; 0.0000424; 20.0000000; 0.0000000
155.9737503; 196.3265108; -132.4995668; -2.3999028; 0.0000427; 20.0000000; 0.0000000
157.9734138; 197.6774164; -133.9739170; -2.3998171; 0.0000430; 20.0000000; 0.0000000
159.9730773; 199.0284487; -135.4481509; -2.3997307; 0.0000433; 20.0000000; 0.0000000
161.9727407; 200.3796087; -136.9222677; -2.3996438; 0.0000436; 20.0000000; 0.0000000
163.9724042; 201.7308974; -138.3962668; -2.3995563; 0.0000439; 20.0000000; 0.0000000
165.9720677; 203.0823154; -139.8701471; -2.3994681; 0.0000442; 20.0000000; 0.0000000
